,genres,id,vote_average,release_year,revenue_adj,original_title
28,Drama|Thriller|History,314365,7.8,2015,81278719.39736341,Spotlight
29,Action|Science Fiction|Thriller,294254,6.4,2015,286356245.923251,Maze Runner: The Scorch Trials
30,Mystery|Drama,280996,6.4,2015,27006774.877019,Mr. Holmes
31,Crime|Action|Science Fiction,198184,6.6,2015,93903685.2423785,Chappie
32,Comedy|Music,254470,6.8,2015,264505582.09754303,Pitch Perfect 2
33,Thriller|Drama,296098,7.1,2015,149601569.335309,Bridge of Spies
34,Adventure|Horror|Comedy,257445,6.2,2015,138157089.01088,Goosebumps
35,Drama|Thriller,264644,8.0,2015,32569603.029374603,Room
36,Crime|Drama|Mystery,339527,6.2,2015,20566197.1908732,Solace
37,Adventure|Animation|Comedy|Family|Fantasy,105864,6.6,2015,305371920.876354,The Good Dinosaur
38,Action|Crime|Drama|Mystery|Thriller,241554,6.3,2015,65836683.5118592,Run All Night
39,Drama|Romance,167073,7.3,2015,57110024.5915891,Brooklyn
40,Drama|Music,277216,7.7,2015,185504110.098191,Straight Outta Compton
41,Fantasy|Action|Adventure,274854,5.6,2015,129164861.16746101,The Last Witch Hunter
42,History|Drama,321697,6.9,2015,31686509.2179359,Steve Jobs
43,Comedy|Action|Adventure,203801,7.0,2015,99493456.50287908,The Man from U.N.C.L.E.
44,Fantasy|Drama|Romance,293863,7.3,2015,39219376.6634742,The Age of Adaline
45,Action|Adventure|Science Fiction,325348,5.9,2015,13187080.9976843,Hardcore Henry
46,Fantasy|Comedy|Animation|Science Fiction|Family,228161,6.9,2015,339361177.121082,Home
47,Drama|Mystery|Romance,286565,6.2,2015,78671281.38463621,Paper Towns
48,Thriller|Crime|Drama,265208,5.3,2015,0.0,Wild Card
49,Thriller|Comedy|Drama|Romance|Science Fiction,254320,6.6,2015,8339346.45068756,The Lobster
50,Romance|Drama,258480,7.1,2015,37050347.8978469,Carol
51,Comedy,257211,7.1,2015,178999419.480255,The Intern
52,Adventure|Drama,253412,6.7,2015,187153294.93255,Everest
53,Comedy|Drama,274479,6.4,2015,93043293.3409509,Joy
54,Action|Crime|Thriller,257088,5.5,2015,123021159.990689,Point Break
55,Drama,295964,6.3,2015,33678188.7415969,Burnt
56,Science Fiction|Mystery|Thriller,238615,6.2,2015,28081355.564203497,Self/less
57,Comedy|Adventure,210860,5.3,2015,27985062.8865723,Mortdecai
58,Drama,306819,7.3,2015,59056175.175282896,The Danish Girl
59,Mystery|Crime|Action|Thriller|Drama,201088,5.0,2015,16332697.613613,Blackhat
60,Action|Crime|Drama|Mystery|Thriller,273481,7.1,2015,77303716.7063646,Sicario
61,Action|Adventure|Science Fiction,166424,4.4,2015,154539320.322699,Fantastic Four
62,Mystery|Horror,310131,5.8,2015,37190013.0363942,The Witch
63,Action|Comedy|Crime,238713,6.9,2015,216812826.082356,Spy
64,Romance|Comedy|Crime|Drama,256591,6.7,2015,141645863.63582,Focus
65,Action|Crime|Thriller,249070,5.5,2015,75759810.18568349,Hitman: Agent 47
66,Thriller|Drama|Adventure|Action|History,205775,6.4,2015,86315059.3813738,In the Heart of the Sea
67,Crime|Thriller|Action,334074,5.4,2015,0.0,Survivor
68,Drama,312221,7.3,2015,126900665.803707,Creed
69,Comedy,271718,6.1,2015,129532072.56588799,Trainwreck
70,Drama|Thriller|War,333352,7.2,2015,30220316.9030605,Eye in the Sky
71,Crime|Thriller,276907,6.7,2015,39535137.0845396,Legend
72,Thriller,284289,5.5,2015,42223.381421712096,Beyond the Reach
73,Adventure|Family|Fantasy,266647,5.9,2015,118117202.42843,Pan
74,Action|Adventure|Fantasy,347096,5.1,2015,0.0,Mythica: The Darkspore
75,Comedy|Drama,308369,7.7,2015,0.0,Me and Earl and the Dying Girl
76,Adventure|Animation|Comedy|Family,227973,6.4,2015,226534364.284879,The Peanuts Movie
77,Drama,321741,6.9,2015,44733666.5571867,Concussion
78,Comedy,296100,6.1,2015,48204295.110110104,The Night Before
79,Drama|Horror|Thriller,263472,4.8,2015,4796917.44935632,Knock Knock
80,Romance|Drama,228205,7.3,2015,57972193.012235,The Longest Ride
81,Animation|Comedy|Family,159824,6.8,2015,428888671.76898396,Hotel Transylvania 2
82,Family|Comedy,333348,5.3,2015,22079990.2848042,Love the Coopers
83,Adventure|Drama|Thriller,285783,6.8,2015,56287361.873560704,The Walk
84,Action|Crime|Drama,290764,5.9,2015,1714249.04573042,Tracers
85,Adventure|Comedy,296099,6.1,2015,96033410.70529921,Vacation
86,Horror|Thriller,243688,5.0,2015,87802915.846717,Poltergeist
87,Horror,287424,5.1,2015,172142.964257095,Maggie
88,Drama|Romance|Science Fiction,301875,5.6,2015,1839999.19040035,Equals
89,Crime|Thriller,181283,5.9,2015,3058382.2543117995,Child 44
90,Thriller|Mystery,328425,6.6,2015,54260336.885451704,The Gift
91,Comedy,274167,5.7,2015,221131463.342156,Daddy's Home
92,Fantasy|Action|Adventure,370687,5.4,2015,0.0,Mythica: The Necromancer
93,Thriller|Science Fiction|Action|Adventure,307663,4.1,2015,0.0,Vice
94,Adventure|Animation|Fantasy,309809,7.5,2015,89765510.50317529,The Little Prince
95,Adventure|Animation|Comedy|Family,258509,5.7,2015,215055014.135793,Alvin and the Chipmunks: The Road Chip
96,Drama,298382,6.9,2015,16872792.5759712,The Dressmaker
97,Romance|Comedy,272693,6.8,2015,40046325.65961671,The DUFF
98,Horror,283445,5.5,2015,48651435.1533685,Sinister 2
99,Action|Adventure|Comedy|Family,256961,5.3,2015,98989419.0846556,Paul Blart: Mall Cop 2
100,Adventure|Animation|Family,326359,7.0,2015,0.0,Frozen Fever
101,Action|Drama|Science Fiction,254302,5.4,2015,0.0,High-Rise
102,Thriller,241251,3.9,2015,46150034.4539848,The Boy Next Door
103,Thriller|Action,292040,5.6,2015,0.0,Spooks: The Greater Good
104,Comedy,188222,6.2,2015,45322311.73818279,Entourage
105,Comedy,252838,6.5,2015,73415857.2970227,The Wedding Ringer
106,Comedy|Horror,273477,6.2,2015,13671898.704364501,Scouts Guide to the Zombie Apocalypse
107,Horror|Thriller,298312,5.9,2015,90574017.18743241,The Visit
108,Crime|Drama,261023,6.3,2015,91793583.3708233,Black Mass
109,Crime|Action|Thriller,336004,5.4,2015,46125.099704956105,Heist
110,Horror|Comedy|Fantasy,287903,5.9,2015,56624785.5250943,Krampus
111,Drama|Mystery|Thriller,182560,5.7,2015,191900.87556361398,Dark Places
112,Action|Thriller,192141,6.7,2015,50065340.2112503,No Escape
113,Crime|Drama|Comedy,308639,7.3,2015,16547831.2389542,Dope
114,Comedy|Action,261392,5.9,2015,25951426.781372197,American Ultra
115,Drama,304357,7.3,2015,56690166.216326796,Woman in Gold
116,Action|Fantasy|Adventure,297291,4.5,2015,0.0,The Scorpion King: The Lost Throne
117,Comedy,266294,5.9,2015,96610126.25154442,Sisters
118,Science Fiction|Thriller,227719,6.3,2015,29668368.665917702,Project Almanac
119,Comedy|Science Fiction,86828,5.8,2015,4774472.21923222,Absolutely Anything
120,Thriller|Action|Crime,287948,5.3,2015,66819266.9995225,The Transporter Refueled
121,Mystery|Thriller|Fantasy|Horror|Drama,201085,6.4,2015,68705406.0096213,Crimson Peak
122,Thriller|Action,277355,5.1,2015,0.0,Everly
123,Comedy|Drama|Music,264999,6.3,2015,112619962.88721599,Magic Mike XXL
124,Horror|Thriller,146301,5.0,2015,71851557.1453148,Paranormal Activity: The Ghost Dimension
125,Romance|Thriller|Western,223485,6.6,2015,210766.38726278898,Slow West
126,Drama,294016,7.2,2015,7576804.78620589,Trumbo
127,Crime|Drama|Mystery,290751,6.2,2015,29614535.809604198,Secret in Their Eyes
128,Comedy,309245,6.4,2015,2300395.50782597,Mistress America
129,Family|Animation,228165,5.7,2015,286666383.306791,The SpongeBob Movie: Sponge Out of Water
130,Crime|Drama|Mystery,245706,6.0,2015,4342117.4894683,True Story
131,Adventure|Drama|Family,272878,7.0,2015,40449856.802063,Max
132,Family|Animation|Comedy|Adventure,263109,6.9,2015,54923975.83345061,Shaun the Sheep Movie
133,Drama,157827,6.3,2015,0.0,Louder Than Bombs
134,Comedy|Drama,321751,6.3,2015,1566237.67085542,A Perfect Day
135,Action|Drama|Crime,266396,5.6,2015,9811564.7629115,The Gunman
136,Horror|Thriller,277685,5.6,2015,57851497.3453411,Unfriended
137,Action|Crime|Comedy,268920,5.5,2015,47545763.999863796,Hot Pursuit
138,Drama|Horror|Thriller,280092,6.3,2015,95959500.6978197,Insidious: Chapter 3
139,Drama|Science Fiction|Thriller,193687,5.5,2015,109004.312038102,Z for Zachariah
140,Action|Adventure|Fantasy,300803,4.5,2015,0.0,Dragonheart 3: The Sorcerer's Curse
141,Comedy|Drama,328589,5.9,2015,38076655.2862716,The Lady in the Van
142,Drama|Science Fiction|Thriller,228066,5.5,2015,31489100.3047958,Victor Frankenstein
143,Adventure|Drama|Family,378373,7.5,2015,0.0,Brothers of the Wind
144,Animation|Comedy|Drama|Romance,291270,6.7,2015,3458541.59824169,Anomalisa
145,Horror|Western|Adventure|Drama,294963,6.3,2015,0.0,Bone Tomahawk
146,Horror|Mystery|Thriller,241257,5.2,2015,16257405.7667414,Regression
147,Drama,245698,6.6,2015,0.0,Pawn Sacrifice
148,Drama,353326,7.1,2015,10554653.0359526,The Man Who Knew Infinity
149,Thriller|Action,346808,5.8,2015,0.0,Momentum
150,Drama|Romance,250124,6.8,2015,1358841.24210985,The Diary of a Teenage Girl
151,Horror|Thriller,290637,5.3,2015,0.0,Pay the Ghost
152,Horror|Thriller|Comedy|Crime,244458,6.0,2015,0.0,The Voices
153,Action|Adventure,308504,6.3,2015,3352102.24507501,Last Knights
154,Romance|Fantasy|Horror,314405,5.7,2015,0.0,Il racconto dei racconti
155,Mystery|Drama,282984,6.1,2015,25199786.192094002,Irrational Man
156,Drama|History,157843,6.0,2015,0.0,Queen of the Desert
157,Comedy|Drama|Music,275601,5.5,2015,38019285.0315145,Ricki and the Flash
158,Comedy|Drama|Romance,290762,7.2,2015,0.0,Miss You Already
159,Action|Comedy|Science Fiction|Fantasy,251516,7.7,2015,0.0,Kung Fury
160,Drama|Thriller,304372,5.6,2015,55451294.7614303,The Perfect Guy
161,Crime|Drama|Mystery|Thriller,324807,5.8,2015,1781601.29609542,A Bigger Splash
162,Drama|Comedy,252512,5.9,2015,6980483.12858742,While We're Young
163,Comedy,257091,5.9,2015,97990493.6441828,Get Hard
164,Drama|Action|Crime|Thriller,228968,5.8,2015,0.0,Kidnapping Mr. Heineken
165,Comedy|Western,347969,4.8,2015,0.0,The Ridiculous 6
166,Comedy|Thriller,237756,5.1,2015,0.0,Kill Me Three Times
167,History|Drama,293646,5.8,2015,22910495.079382103,The 33
168,Drama|History,245168,7.1,2015,14722219.9222232,Suffragette
169,Drama,311291,6.0,2015,0.0,45 Years
170,Drama|Music|Romance,301351,6.2,2015,10232318.297779901,We Are Your Friends
171,Adventure|Action|Comedy,248574,5.5,2015,5588.997540841079,Barely Lethal
172,History|Drama|War,225728,6.4,2015,12137055.0996957,Macbeth
173,Action|Thriller,326425,4.2,2015,15432.9932094829,Extraction
174,Comedy|Drama,342474,5.2,2015,0.0,Jenny's Wedding
175,Music|Action|Adventure|Comedy|Family,277217,6.7,2015,0.0,Descendants
176,Music|Romance|Comedy,207936,6.6,2015,0.0,Tumbledown
177,Romance|Drama,250734,6.9,2015,27811566.6029106,Far from the Madding Crowd
178,Drama,249688,7.3,2015,2762652.06443309,The End of the Tour
179,Drama|Comedy,268238,6.4,2015,79099969.91601321,The Second Best Exotic Marigold Hotel
180,Comedy|Drama|War,256962,7.1,2015,5906690.88105601,Little Boy
181,Action|Adventure|Animation|Family,322456,6.4,2015,0.0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League
182,Drama|Thriller,302528,7.7,2015,1827684.9958186,Remember
183,Adventure|Comedy|Romance,222936,5.2,2015,24150007.7739965,Aloha
184,Romance|Comedy,316002,3.6,2015,0.0,Accidental Love
185,Action|Animation|Science Fiction,365806,5.3,2015,0.0,Halo: The Fall of Reach
186,Drama|Comedy,10317,5.7,2015,6442077.28548599,Our Brand Is Crisis
187,Drama|Science Fiction,334538,5.1,2015,0.0,Into the Forest
188,Thriller,306947,6.4,2015,213197.946192903,The Invitation
189,Drama,328901,4.5,2015,0.0,The Benefactor
190,Animation|Comedy|Family|Adventure,382517,5.6,2015,0.0,Open Season: Scared Silly
191,Thriller,310133,5.5,2015,123787.785533374,Cop Car
192,Thriller,237584,4.3,2015,0.0,Mojave
193,Comedy,288036,6.2,2015,2956985.41892641,Sleeping with Other People
194,Western|Drama,354110,5.6,2015,0.0,Forsaken
195,Documentary|Music,331781,7.5,2015,7740089.0743608,Amy
196,Drama,253161,5.3,2015,0.0,Madame Bovary
197,Fantasy|Horror,312831,4.9,2015,0.0,The Hallow
198,Family|Animation,316322,5.5,2015,0.0,Barbie in Princess Power
199,Horror,301846,4.9,2015,0.0,Howl
200,Romance|Drama,306745,7.1,2015,527467.967914094,Freeheld
201,Romance|Comedy,332340,6.5,2015,0.0,Man Up
202,Drama|Romance,292431,4.7,2015,639647.198555232,Love
203,Drama,300693,6.4,2015,2338228.65117939,Truth
204,Thriller,333381,5.0,2015,0.0,Return to Sender
205,Comedy|Drama|Music,256924,6.6,2015,9968887.45368952,Danny Collins
206,Comedy|Music|War,253414,5.1,2015,2779009.65723575,Rock the Kasbah
207,Drama,254172,7.0,2015,0.0,Fathers and Daughters
208,Comedy|Drama|Romance,320588,6.6,2015,13289393.2326669,"Hello, My Name Is Doris"
209,Thriller|Horror,157544,4.5,2015,1641981.23752825,The Vatican Tapes
210,Drama,283235,6.8,2015,1298972.2684521999,99 Homes
211,Comedy,243938,5.0,2015,11329473.935031401,Hot Tub Time Machine 2
212,Romance|Drama,86835,5.7,2015,0.0,Knight of Cups
213,Drama,254905,5.0,2015,131652.86207274,Manglehorn
214,Drama,309242,5.7,2015,0.0,Mississippi Grind
215,Mystery|Science Fiction|Thriller,332502,4.2,2015,0.0,400 Days
216,Animation|Comedy|Family|Fantasy|Music,286192,7.3,2015,0.0,Lava
217,Thriller|Science Fiction,284674,4.7,2015,0.0,Air
218,Action,360055,5.0,2015,0.0,Riot
219,Drama|Thriller,352179,5.9,2015,0.0,Septembers of Shiraz
220,Drama,246127,5.1,2015,7391.27674783823,Every Thing Will Be Fine
221,Drama|Horror|Science Fiction,338676,5.3,2015,0.0,Extinction
222,Mystery|Drama|Horror,330982,3.6,2015,0.0,The Childhood of a Leader
223,Drama|Adventure|Comedy,232572,5.4,2015,33111785.4708143,A Walk in the Woods
224,Horror,112454,5.2,2015,0.0,Clown
225,Thriller|Horror,243940,4.9,2015,58981843.80798871,The Lazarus Effect
226,Action|Adventure|Animation,321528,6.8,2015,0.0,Batman vs. Robin
227,Thriller,317744,5.4,2015,0.0,Careful What You Wish For
228,Adventure|Documentary,300792,7.8,2015,0.0,Racing Extinction
229,Comedy,239573,4.9,2015,13276746.918231301,Unfinished Business
230,Fantasy|Thriller,167810,5.7,2015,41796.5016095392,Lost River
231,Music|Documentary,319075,7.5,2015,0.0,Cobain: Montage of Heck
232,War|Drama,316042,5.7,2015,0.0,Hyena Road
233,Thriller|Crime|Drama,334527,5.9,2015,0.0,Criminal Activities
234,Drama,300153,5.9,2015,0.0,Life
235,Drama,228203,7.4,2015,42053235.776576206,"McFarland, USA"
236,Horror|Mystery,332704,5.4,2015,0.0,Backtrack
237,Drama,278236,6.0,2015,0.0,X+Y
238,Drama|Comedy,276839,4.9,2015,0.0,Home Sweet Hell
239,Animation|Adventure|Comedy,326215,5.7,2015,0.0,Ooops! Noah is Gone...
240,Thriller|Horror,363689,4.1,2015,0.0,The Unspoken
241,Documentary,318256,5.9,2015,0.0,Hot Girls Wanted
242,Horror|Thriller,299245,5.0,2015,39251239.9294544,The Gallows
243,Drama|Comedy,333344,4.8,2015,0.0,Dirty Weekend
244,Horror|Thriller,357096,5.0,2015,0.0,I Spit on Your Grave III: Vengeance is Mine
245,History|Drama,309299,6.9,2015,0.0,Experimenter
246,Drama|Romance,314385,5.4,2015,3068131.49002214,By the Sea
247,Drama,333596,6.8,2015,0.0,Woodlawn
248,Horror|TV Movie,361042,5.1,2015,0.0,The Hollow
249,Thriller|Horror,353686,5.5,2015,0.0,Visions
250,Action,318954,6.2,2015,1137205.97962936,Beyond the Mask
251,Drama|Thriller,289191,4.0,2015,0.0,I Am Here
252,Crime|Drama,324333,4.1,2015,0.0,Wild Horses
253,Drama|Thriller,252164,5.0,2015,0.0,Pressure
254,Thriller|Horror,360784,6.5,2015,0.0,Hidden
255,Fantasy|Comedy|Animation,336313,4.3,2015,145146.496135541,Hell & Back
256,Adventure|Science Fiction|Action,240483,4.9,2015,0.0,Robot Overlords
257,Action,321494,4.7,2015,0.0,The Man with the Iron Fists 2
258,Action|Adventure|Animation|Family,353595,6.8,2015,0.0,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!
259,TV Movie,360603,7.6,2015,0.0,Crown for Christmas
260,Action|Drama|Family,264337,6.6,2015,0.0,Spare Parts
261,Drama,289716,5.8,2015,0.0,The World Made Straight
262,Horror|Thriller,296065,5.6,2015,0.0,Last Shift
263,Horror|Thriller,337029,4.5,2015,0.0,Frankenstein
264,Drama|Documentary,317952,7.5,2015,0.0,Cartel Land
265,Comedy,325358,4.4,2015,0.0,Superfast!
266,Comedy,272548,6.0,2015,0.0,Moonwalkers
267,Music|Drama|Crime|Comedy,340275,5.9,2015,0.0,Chi-Raq
268,Comedy|Action,309887,5.8,2015,0.0,Bad Asses on the Bayou
269,Music|Animation|Family|Fantasy,302429,6.1,2015,12515171.2533246,Strange Magic
270,Drama,253331,6.7,2015,19845485.147986498,Black or White
271,Horror|Science Fiction,293771,4.9,2015,0.0,Dead Rising
272,Comedy|Horror,323373,6.5,2015,0.0,Deathgasm
273,Action|Animation|Fantasy,323027,6.9,2015,0.0,Justice League: Gods and Monsters
274,Drama|Music,297806,5.6,2015,1515044.29338051,I Saw the Light
275,Action|Drama|Thriller,253626,5.7,2015,291154.11189219,Good Kill
276,Fantasy|Thriller|Horror|Science Fiction,354251,6.0,2015,0.0,Southbound
277,Action|Science Fiction|Adventure|Fantasy,329637,4.1,2015,0.0,Star Trek: Renegades
278,Thriller|Drama|Horror,257444,6.1,2015,0.0,The Boy
279,Animation|Family,355338,7.3,2015,0.0,Riley's First Date?
280,Drama,271736,5.9,2015,3023530.82964643,The Program
281,Thriller|Drama,309581,5.2,2015,0.0,Lila & Eve
282,Horror|Comedy,293970,6.6,2015,0.0,The Final Girls
283,Thriller|Horror|Comedy|Drama,279690,6.3,2015,0.0,He Never Died
284,Comedy|Music,364067,5.4,2015,0.0,A Very Murray Christmas
285,Thriller|Comedy|Crime,318922,5.5,2015,0.0,Kill Your Friends
286,Family|Science Fiction|Action|Adventure,335077,3.5,2015,0.0,Battle For SkyArk
287,Drama|Music|Adventure|Fantasy,266639,5.7,2015,2146988.33532513,Jem and the Holograms
288,Thriller|Action|Drama,274504,4.8,2015,0.0,The Adderall Diaries
289,Action|Horror|Thriller,244316,5.0,2015,0.0,Grizzly
290,Documentary,352208,7.2,2015,0.0,Where to Invade Next
291,Drama|War,283587,7.5,2015,83514.8032534865,Beasts of No Nation
292,Horror,311539,5.6,2015,0.0,A Christmas Horror Story
293,Drama,277713,7.1,2015,0.0,Sunset Song
294,Thriller|Mystery|Science Fiction,347945,5.3,2015,4144.5981763767995,Synchronicity
295,Family|TV Movie,363483,6.3,2015,0.0,12 Gifts of Christmas
296,Thriller|Horror,344854,5.5,2015,0.0,The Pack
297,Thriller|Horror,234212,5.0,2015,3116038.628943,Demonic
298,Crime|Horror|Thriller,354220,4.7,2015,0.0,The Girl in the Photographs
299,Thriller|Drama|Comedy,283596,5.7,2015,0.0,The Legend of Barney Thomson
300,Drama,250225,5.8,2015,0.0,The Duke of Burgundy
301,Thriller|Action,307479,4.4,2015,0.0,88
302,Drama,339145,6.2,2015,0.0,The Girl in the Book
303,Fantasy|Action|Adventure,323660,3.8,2015,0.0,Avengers Grimm
304,Drama|Comedy,308638,4.2,2015,709611.327771015,The D Train
305,Family|TV Movie|Animation,359983,5.9,2015,0.0,The Lion Guard: Return of the Roar
306,Thriller|Romance|Drama,300155,6.2,2015,209885.027650587,A Royal Night Out
307,Science Fiction|Action,328595,6.1,2015,0.0,Parallels
308,Drama|Music,327528,6.8,2015,763718.3439639279,Born to Be Blue
309,Thriller|Action,329540,5.7,2015,0.0,The Marine 4: Moving Target
310,Horror,306964,5.3,2015,0.0,Tales of Halloween
311,Adventure|Action,360387,4.4,2015,0.0,Blunt Force Trauma
312,Thriller|Action|Drama,362185,5.4,2015,0.0,Operator
313,Horror,94365,3.5,2015,0.0,The Human Centipede 3 (Final Sequence)
314,Horror|Romance|Science Fiction,241855,6.5,2015,45972.3797721529,Spring
315,Thriller,322518,4.9,2015,0.0,The Intruders
316,Horror,291272,5.5,2015,0.0,We Are Still Here
317,Animation|Family|Fantasy,324963,7.0,2015,0.0,Monster High: Haunted
318,Science Fiction|Action|Horror,342927,3.8,2015,0.0,3-Headed Shark Attack
319,Horror|Action,361159,3.3,2015,0.0,Navy Seals vs. Zombies
320,Thriller|Action|Horror,365805,3.6,2015,0.0,Wrecker
321,Comedy|Romance,351964,5.9,2015,0.0,The Escort
322,Drama|Horror|Thriller,362057,5.0,2015,0.0,Martyrs
323,Thriller|Drama|Science Fiction,137333,6.1,2015,0.0,Uncanny
324,TV Movie|Adventure|Comedy,317198,6.5,2015,0.0,Bad Hair Day
325,Horror|Thriller|Science Fiction,57876,4.4,2015,0.0,Area 51
326,TV Movie|Action|Science Fiction,339533,3.7,2015,0.0,San Andreas Quake
327,Drama,277546,4.8,2015,0.0,The Runner
328,Science Fiction|Drama|Family,308457,6.4,2015,0.0,Advantageous
329,Thriller|Drama,306482,5.8,2015,0.0,Partisan
330,Comedy|Horror,362105,7.2,2015,0.0,R.L. Stine's Monsterville: The Cabinet of Souls
331,Drama|Thriller,245846,5.0,2015,16074.2329273375,Strangerland
332,Drama|Romance|Comedy,330112,5.9,2015,0.0,Ashby
333,Crime|Drama|Thriller,322766,5.4,2015,0.0,Beautiful & Twisted
334,Documentary,361931,6.5,2015,0.0,Ronaldo
335,Documentary,318224,7.8,2015,0.0,Going Clear: Scientology and the Prison of Belief
336,Thriller|Drama,309503,5.5,2015,0.0,Zipper
337,War|Action,348811,4.9,2015,0.0,War Pigs
338,Adventure|Action|Comedy|Science Fiction,310135,6.6,2015,0.0,Turbo Kid
339,Animation|Music|Family,355111,6.3,2015,0.0,Barbie in Rock 'N Royals
340,Drama|Horror|Science Fiction|Thriller,335866,6.1,2015,0.0,Circle
341,Animation|Documentary,295592,6.3,2015,15328184.095599,Monkey Kingdom
342,Comedy,335970,4.2,2015,0.0,Joe Dirt 2: Beautiful Loser
343,Animation,366142,5.9,2015,0.0,Minions: The Competition
344,Drama|Comedy,310121,6.2,2015,6853703.50437045,I'll See You in My Dreams
345,Drama|TV Movie|Crime|Mystery,361263,5.6,2015,0.0,Jesse Stone: Lost in Paradise
346,Documentary,324308,6.2,2015,454945.31982405897,Steve Jobs: The Man in the Machine
347,Drama|TV Movie,326923,5.9,2015,0.0,Babysitter's Black Book
348,Thriller,356842,5.9,2015,0.0,The Ones Below
349,Science Fiction|Action|Horror,339530,5.1,2015,0.0,Tremors 5: Bloodlines
350,Crime|Drama|Thriller,331190,5.7,2015,2577386.22595006,Captive
351,Science Fiction|Thriller|Fantasy,301729,4.6,2015,0.0,Terminus
352,Action|Science Fiction,395883,4.7,2015,0.0,Andron
353,Comedy,356300,4.7,2015,0.0,How to Plan an Orgy in a Small Town
354,Science Fiction|Comedy|Horror,218784,5.6,2015,65281.3312762142,Freaks of Nature
355,Thriller|Horror,310137,5.4,2015,0.0,Reversal
356,Action|Animation|Family,342917,6.1,2015,0.0,Batman Unlimited: Monster Mayhem
357,Action|Adventure|Science Fiction|Romance,79698,4.6,2015,0.0,The Lovers
358,Drama,337960,7.9,2015,0.0,Holding the Man
359,Science Fiction|Horror,296130,4.2,2015,0.0,Harbinger Down
360,Action|Animation|Family,327418,5.8,2015,0.0,Batman Unlimited: Animal Instincts
361,Drama|Comedy,246133,4.0,2015,0.0,Entertainment
362,Drama,328869,6.4,2015,0.0,Meadowland
363,Thriller|Drama,308032,6.8,2015,592072.179488241,The Stanford Prison Experiment
364,Drama|History|Romance,329829,6.1,2015,0.0,The Girl King
365,Drama|Music|TV Movie,330544,5.9,2015,0.0,Bessie
366,Horror,299551,5.3,2015,0.0,The Atticus Institute
367,Thriller|Horror,207270,4.2,2015,0.0,The Hoarder
368,Drama,307946,5.7,2015,0.0,I Smile Back
369,Family|Adventure,356905,6.1,2015,0.0,Oddball
370,Adventure|Documentary,318279,6.9,2015,2147488.81510492,Meru
371,Animation,345637,6.9,2015,0.0,Sanjay's Super Team
372,Romance|Comedy|Drama,284286,5.9,2015,3171820.96439877,Learning to Drive
373,Romance|Comedy,340816,5.8,2015,0.0,Christmas Eve
374,Mystery|Drama|Thriller,206197,6.6,2015,0.0,The Sisterhood of Night
375,TV Movie|Horror|Science Fiction,331446,4.5,2015,0.0,Sharknado 3: Oh Hell No!
376,Action|Thriller,351901,4.5,2015,0.0,12 Rounds 3: Lockdown
377,Documentary,357681,8.0,2015,0.0,Hitting the Apex
